Country Name,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Syrian Arab Republic,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,16480200000,16126994000,16156549000,5031272000,4922650000,4982056000,4737002000,4480423000,4275639000,3997657000,3947796000,3898388000,3664383000,..
Syrian Arab Republic,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,5707696000,4935427000,2822398000,510688000,595189000,653867000,580546000,755631000,557554000,541517000,358963000,424786000,528222000,..
Syrian Arab Republic,"External debt stocks, variable rate (DOD, current US$)",DT.DOD.VTOT.CD,0,0,10876000,0,0,6624000,33310000,59557000,54519000,50989000,51994000,54347000,47844000,..
Syrian Arab Republic,External resources for health (% of total expenditure on health),SH.XPD.EXTR.ZS,0.13258427,0.19795741,0.31048772,0.48033821,1.64717494,0.76600197,0.93038503,1.3292376,1.87415567,1.18927542,0.90387034,0.64354522,..,..
Syrian Arab Republic,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,..,..,..,..,..,10.2180157123,..,8.2949425427,9.1865583817,..,..,..,..,..
Syrian Arab Republic,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,..,..,161.0740956664,154.5161666861,156.7154640648,162.6821424768,171.570071663,153.2058289623,68.2379398536,89.7584541063,126.9249614373,241.6909620991,..,..
Syrian Arab Republic,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,73.1812066428,84.9458823529,84.5411134904,80.6454814189,87.9899978719,65.4218415418,33.0168551312,49.4191334191,29.98585209,21.3384813385,..,..
Syrian Arab Republic,Final consumption expenditure (constant 2005 US$),NE.CON.TOTL.KD,..,..,..,22983697318.0077,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,699595601000,709552693900,..,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,699595601000,743881618700,1007946000000,1199749000000,1317603000000,1440530000000,..,..,..,..,..,..,..,..
